time,step,x,y,Ux,Uy,p
6.9,6900,-0.3400000035762787,0.051875000819563866,0.973664,0.0218336,-0.244816
6.9,6900,-0.29999999701976776,0.05312499962747097,0.9546,0.0222555,-0.217924
6.9,6900,-0.25999999791383743,0.05437499936670065,0.920709,0.0201561,-0.194852
6.9,6900,-0.2199999988079071,0.05562500096857548,0.909261,0.0197047,-0.175771
6.9,6900,-0.17999999970197678,0.05687500070780516,0.881193,0.0200221,-0.159224
6.9,6900,-0.13999999687075615,0.05812499951571226,0.873359,0.0205689,-0.143823
6.9,6900,-0.09999999776482582,0.05937499925494194,0.846556,0.0206928,-0.129128
6.9,6900,-0.05999999865889549,0.06062499899417162,0.839374,0.020083,-0.115115
6.9,6900,-0.019999999552965164,0.06187500059604645,0.8138,0.0194423,-0.101816
6.9,6900,0.019999999552965164,0.06312500033527613,0.808009,0.0190587,-0.0891856
6.9,6900,0.05999999865889549,0.0643750000745058,0.782938,0.0183289,-0.0772527
6.9,6900,0.09999999776482582,0.06562499981373549,0.778573,0.0179156,-0.0660278
6.9,6900,0.13999999687075615,0.06687499955296516,0.754736,0.0177072,-0.0554515
6.9,6900,0.17999999970197678,0.06812500115483999,0.751483,0.0172935,-0.0454949
6.9,6900,0.2199999988079071,0.06937500089406967,0.728649,0.016929,-0.0361322
6.9,6900,0.25999999791383743,0.07062500063329935,0.726761,0.0167468,-0.0272881
6.9,6900,0.29999999701976776,0.07187499944120646,0.704702,0.0164857,-0.0189266
6.9,6900,0.3400000035762787,0.07312499918043613,0.703775,0.0162182,-0.0110245
6.9,6900,0.3800000101327896,0.07437500078231096,0.682503,0.0161201,-0.00356281
6.9,6900,-0.3800000101327896,0.07087500020861626,1.00277,0.0349718,-0.271514
6.9,6900,-0.3400000035762787,0.0726250009611249,0.964111,0.0480109,-0.243251
6.9,6900,-0.29999999701976776,0.07437499985098839,0.944165,0.0427673,-0.215739
6.9,6900,-0.25999999791383743,0.07612499967217445,0.910946,0.0401461,-0.193622
6.9,6900,-0.2199999988079071,0.07787500135600567,0.90027,0.040807,-0.17561
6.9,6900,-0.17999999970197678,0.07962500117719173,0.871898,0.0407482,-0.159215
6.9,6900,-0.13999999687075615,0.08137499913573265,0.863818,0.0406575,-0.143691
6.9,6900,-0.09999999776482582,0.08312499895691872,0.836428,0.0397045,-0.128869
6.9,6900,-0.05999999865889549,0.08487499877810478,0.828961,0.0384433,-0.114785
6.9,6900,-0.019999999552965164,0.086625000461936,0.802992,0.0370277,-0.10152
6.9,6900,0.019999999552965164,0.08837500028312206,0.796995,0.0363598,-0.0889499
6.9,6900,0.05999999865889549,0.09012500010430813,0.771506,0.0350823,-0.0770883
6.9,6900,0.09999999776482582,0.0918749999254942,0.767207,0.03446,-0.0659514
6.9,6900,0.13999999687075615,0.09362499974668026,0.742665,0.0337635,-0.0554151
6.9,6900,0.17999999970197678,0.09537500143051147,0.739294,0.033068,-0.0454608
6.9,6900,0.2199999988079071,0.09712500125169754,0.715828,0.0321245,-0.0361118
6.9,6900,0.25999999791383743,0.0988750010728836,0.713806,0.0317338,-0.0272781
6.9,6900,0.29999999701976776,0.10062499903142452,0.690918,0.0310215,-0.0189231
6.9,6900,0.3400000035762787,0.10237499885261059,0.69007,0.0305518,-0.0110379
6.9,6900,0.3800000101327896,0.1041250005364418,0.667898,0.0300824,-0.00358779
6.9,6900,-0.3800000101327896,0.0911250002682209,1.00178,0.0283491,-0.30689
6.9,6900,-0.3400000035762787,0.09337499924004078,0.928752,0.0425688,-0.248732
6.9,6900,-0.29999999701976776,0.0956250000745058,0.898559,0.039459,-0.214
6.9,6900,-0.25999999791383743,0.09787500090897083,0.864326,0.0387017,-0.193766
6.9,6900,-0.2199999988079071,0.10012499988079071,0.851561,0.0397268,-0.176035
6.9,6900,-0.17999999970197678,0.10237500071525574,0.820111,0.0393366,-0.159157
6.9,6900,-0.13999999687075615,0.10462499968707561,0.80821,0.0392003,-0.143169
6.9,6900,-0.09999999776482582,0.10687499865889549,0.778072,0.0385337,-0.128054
6.9,6900,-0.05999999865889549,0.10912499949336052,0.768861,0.0373424,-0.113885
6.9,6900,-0.019999999552965164,0.11137500032782555,0.738993,0.0359389,-0.10065
6.9,6900,0.019999999552965164,0.11362499929964542,0.731391,0.035566,-0.0881731
6.9,6900,0.05999999865889549,0.1158749982714653,0.703138,0.0342401,-0.0763691
6.9,6900,0.09999999776482582,0.11812499724328518,0.696464,0.0336271,-0.0652498
6.9,6900,0.13999999687075615,0.12037499994039536,0.668912,0.0328415,-0.0547091
6.9,6900,0.17999999970197678,0.12262500263750553,0.664328,0.032048,-0.0447672
